probe set	gene
37080_at	 Cluster Incl AL035301:H.sapiens gene from PAC 106H8 /cds=(1053,1175) /gb=AL035301 /gi=4200219 /ug=Hs.97375 /len=1661 
37081_at	KIAA0944 protein
37082_at	KIAA0426 gene product
37083_s_at	glutathione peroxidase 3 (plasma)
37084_at	small inducible cytokine subfamily A (Cys-Cys), member 23
37085_g_at	small inducible cytokine subfamily A (Cys-Cys), member 23
37086_at	 Cluster Incl AA904395:ok07a03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1507084 /clone_end=3'' /gb=AA904395 /gi=3039518 /ug=Hs.97477 /len=443'' 
37087_at	A kinase (PRKA) anchor protein 4
37088_at	serine/threonine kinase 13 (aurora/IPL1-like)
37089_at	Cluster Incl X89654:H.sapiens mRNA for cyritestin protein (clone T4A) /cds=UNKNOWN /gb=X89654 /gi=3059112 /ug=Hs.98848 /len=2280
37090_at	Cluster Incl X89656:H.sapiens mRNA for cyritestin protein (clone T4B) /cds=UNKNOWN /gb=X89656 /gi=3059114 /ug=Hs.98848 /len=1242
37091_g_at	Cluster Incl X89656:H.sapiens mRNA for cyritestin protein (clone T4B) /cds=UNKNOWN /gb=X89656 /gi=3059114 /ug=Hs.98848 /len=1242
37092_at	protocadherin alpha 9
37093_at	protease, serine, 22
37094_at	X-ray repair complementing defective repair in Chinese hamster cells 3
37095_r_at	formyl peptide receptor-like 1
37096_at	elastase 2, neutrophil
37097_at	 Cluster Incl D28532:Human mRNA for renal Na+-dependent phosphate cotransporter, complete cds /cds=(3,1400) /gb=D28532 /gi=639841 /ug=Hs.100001 /len=1794 
37098_at	protoporphyrinogen oxidase
37099_at	 Cluster Incl AI806222:wf26e10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2356746 /clone_end=3'' /gb=AI806222 /gi=5392788 /ug=Hs.100194 /len=563'' 
37100_at	formin-like
37101_at	DKFZP564A063 protein
37102_at	 Cluster Incl AA203717:zx52f12.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446159 /clone_end=5'' /gb=AA203717 /gi=1799444 /ug=Hs.100426 /len=907'' 
37103_at	Cluster Incl AF070610:Homo sapiens clone 24505 mRNA sequence /cds=UNKNOWN /gb=AF070610 /gi=3387992 /ug=Hs.100543 /len=1603
37104_at	peroxisome proliferative activated receptor, gamma
37105_at	cathepsin G
37106_at	transcription factor 17
37107_at	protein phosphatase 1D magnesium-dependent, delta isoform
37108_at	regulator of mitotic spindle assembly 1
37109_at	protein Z, vitamin K-dependent plasma glycoprotein
37110_at	 Cluster Incl AB012229:Homo sapiens gene for fructose-6-phosphate,2-kinase/fructose-2, 6-bisphosphatase, partial cds /cds=(0,530) /gb=AB012229 /gi=2982725 /ug=Hs.101313 /len=531 
37111_g_at	 Cluster Incl AB012229:Homo sapiens gene for fructose-6-phosphate,2-kinase/fructose-2, 6-bisphosphatase, partial cds /cds=(0,530) /gb=AB012229 /gi=2982725 /ug=Hs.101313 /len=531 
37112_at	chromosome 6 open reading frame 32
37113_at	TGF beta receptor associated protein -1
37114_at	 Cluster Incl L32832:Homo sapiens zinc finger homeodomain protein (ATBF1-A) mRNA, complete cds /cds=(673,11784) /gb=L32832 /gi=976346 /ug=Hs.101842 /len=11893 
37115_at	 Cluster Incl AL031666:Human DNA sequence from clone 569M23 on chromosome 20q12-13.1 Contains 2 isoforms of an  mRNA for part of a gene similar to BS69, ESTs, CA repeat (D20S891), GSSs /cds=(214,1113) /gb=AL031666 /gi=4581376 /ug=Hs.102186 /len=1114 
37116_at	 Cluster Incl AI346354:qp50c10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1926450 /clone_end=3'' /gb=AI346354 /gi=4083560 /ug=Hs.102186 /len=596'' 
37117_at	Rho GTPase activating protein 8
37118_at	ret finger protein-like 1 antisense
37119_at	 Cluster Incl AL035296:H.sapiens gene from PAC 560B9 /cds=(139,564) /gb=AL035296 /gi=4200246 /ug=Hs.102664 /len=1157 
37120_at	transketolase-like 1
37121_at	natural killer cell group 7 sequence
37122_at	perilipin
37123_at	villin-like
37124_i_at	cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 5
37125_f_at	cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 5
37126_at	Sjogren syndrome antigen A1 (52kD, ribonucleoprotein autoantigen SS-A/Ro)
37127_at	KIAA0926 protein
37128_at	Nck, Ash and phospholipase C binding protein
37129_at	 Cluster Incl AI936758:wp69b11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2467005 /clone_end=3'' /gb=AI936758 /gi=5675628 /ug=Hs.104555 /len=659'' 
37130_g_at	 Cluster Incl AI936758:wp69b11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2467005 /clone_end=3'' /gb=AI936758 /gi=5675628 /ug=Hs.104555 /len=659'' 
37131_at	kallikrein 8 (neuropsin/ovasin)
37132_at	inversin
37133_at	serine/threonine kinase 23
37134_f_at	glutamate receptor, ionotropic, N-methyl D-aspartate 1
37135_f_at	glutamate receptor, ionotropic, N-methyl D-aspartate 1
37136_at	adaptor protein with pleckstrin homology and src homology 2 domains
37137_at	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
37138_at	KIAA0809 protein
37139_at	ectodermal dysplasia 1, anhidrotic
37140_s_at	 Cluster Incl AF061193:Homo sapiens ectodysplasin-A isoform EDA-E (ED1) mRNA, complete cds /cds=(242,688) /gb=AF061193 /gi=3779253 /ug=Hs.105407 /len=924 
37141_at	hepatocyte nuclear factor 3, alpha
37142_at	GDNF family receptor alpha 1
37143_s_at	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)
37144_at	protein inhibitor of activated STAT protein PIASy
37145_at	granulysin
37146_at	KIAA0404 protein
37147_at	stem cell growth factor; lymphocyte secreted C-type lectin
37148_at	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3
37149_s_at	chemokine (C-C motif) receptor 2
37150_at	Kelch motif containing protein
37151_at	Cluster Incl AF052120:Homo sapiens clone 23836 mRNA sequence /cds=UNKNOWN /gb=AF052120 /gi=3360427 /ug=Hs.106334 /len=1671
37152_at	peroxisome proliferative activated receptor, delta
37153_at	KIAA0673 protein
37154_at	protocadherin 17
37155_at	cell recognition molecule Caspr2
37156_at	Cluster Incl AF070641:Homo sapiens clone 24421 mRNA sequence /cds=UNKNOWN /gb=AF070641 /gi=3283914 /ug=Hs.10684 /len=1410
37157_at	calbindin 2, (29kD, calretinin)
37158_at	Cluster Incl AF035306:Homo sapiens clone 23771 mRNA sequence /cds=UNKNOWN /gb=AF035306 /gi=2661067 /ug=Hs.106890 /len=2086
37159_at	hypothetical protein
37160_at	small proline-rich protein 1B (cornifin)
37161_at	Cluster Incl W28948:54b12 Homo sapiens cDNA /gb=W28948 /gi=1308896 /ug=Hs.10762 /len=813
37162_at	DNA segment, single copy, probe pH4 (transforming sequence, thyroid-1,
37163_at	DKFZP586C1619 protein
37164_at	Rhesus blood group, D antigen
37165_f_at	Rhesus blood group, CcEe antigens
37166_at	3-hydroxyanthranilate 3,4-dioxygenase
37167_at	spinocerebellar ataxia 7 (olivopontocerebellar atrophy with retinal degeneration)
37168_at	similar to lysosome-associated membrane glycoprotein
37169_at	KIAA0390 gene product
37170_at	 Cluster Incl AB015331:Homo sapiens HRIHFB2017 mRNA, partial cds /cds=(0,650) /gb=AB015331 /gi=3970851 /ug=Hs.108903 /len=1064 
37411_at	KIAA0050 gene product
37412_at	 Cluster Incl S78798:1-phosphatidylinositol-4-phosphate 5-kinase isoform C [human, peripheral blood leukocytes, mRNA, 1835 nt] /cds=(314,1534) /gb=S78798 /gi=1042033 /ug=Hs.108966 /len=1835 
37413_at	dipeptidase 1 (renal)
37414_at	solute carrier family 22 (organic cation transporter), member 1-like antisense
37415_at	ATPase, Class V, type 10B
37416_at	ras homolog gene family, member H
37417_at	POU domain, class 2, transcription factor 2
37418_at	POU domain, class 2, transcription factor 2
37419_g_at	POU domain, class 2, transcription factor 2
37420_i_at	major histocompatibility complex, class I, F
37421_f_at	major histocompatibility complex, class I, F
37422_at	peptidylprolyl isomerase C (cyclophilin C)
37423_at	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
37424_at	HCR (a-helix coiled-coil rod homologue)
37425_g_at	HCR (a-helix coiled-coil rod homologue)
37426_at	trinucleotide repeat containing 9
37427_at	KIAA0976 protein
37428_at	 Cluster Incl AI140857:qa83c11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1693364 /clone_end=3'' /gb=AI140857 /gi=3648314 /ug=Hs.111224 /len=483'' 
37429_g_at	 Cluster Incl AI140857:qa83c11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1693364 /clone_end=3'' /gb=AI140857 /gi=3648314 /ug=Hs.111224 /len=483'' 
37430_at	arachidonate 15-lipoxygenase, second type
37431_at	Protein inhibitor of activated STAT X
37432_g_at	Protein inhibitor of activated STAT X
37433_at	Protein inhibitor of activated STAT X
37434_at	Cluster Incl W28907:53e12 Homo sapiens cDNA /gb=W28907 /gi=1308855 /ug=Hs.111429 /len=989
37435_s_at	potassium inwardly-rectifying channel, subfamily J, member 6
37436_at	mitochondrial capsule selenoprotein
37437_at	KIAA0590 gene product
37438_at	KIAA0419 gene product
37439_at	 Cluster Incl AI671187:wb14d05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2305641 /clone_end=3'' /gb=AI671187 /gi=4850918 /ug=Hs.112282 /len=529'' 
37440_at	solute carrier family 30 (zinc transporter), member 4
37441_at	lipoyltransferase
37442_at	Cluster Incl AL050378:Homo sapiens mRNA; cDNA DKFZp586I1420 (from clone DKFZp586I1420) /cds=UNKNOWN /gb=AL050378 /gi=4914581 /ug=Hs.112423 /len=2743
37443_at	hypothetical protein FLJ10140
37444_at	Tax interaction protein 40
37445_at	transmembrane protein 5
37446_at	KIAA0443 gene product
37447_at	G protein-coupled receptor 30
37448_s_at	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
37449_i_at	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
37450_r_at	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1
37451_at	Cluster Incl AL109695:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 39820 /cds=UNKNOWN /gb=AL109695 /gi=5689807 /ug=Hs.113657 /len=1564
37452_at	uromodulin (uromucoid, Tamm-Horsfall glycoprotein)
37453_at	ClpX (caseinolytic protease X, E. coli) homolog
37454_at	small inducible cytokine subfamily A (Cys-Cys), member 13
37455_at	 Cluster Incl X68829:H.sapiens mRNA for MDR15 protein /cds=(288,1271) /gb=X68829 /gi=840783 /ug=Hs.113916 /len=2020 
37456_at	lectin, galactoside-binding, soluble, 2 (galectin 2)
37457_at	KIAA0416 protein
37458_at	CDC45 (cell division cycle 45, S.cerevisiae, homolog)-like
37459_at	collagen, type VIII, alpha 1
37460_at	T-cell lymphoma invasion and metastasis 1
37461_at	angiopoietin 2
37462_i_at	splicing factor 3a, subunit 2, 66kD
37463_r_at	splicing factor 3a, subunit 2, 66kD
37464_at	peroxisome biogenesis factor 13
37465_at	brain-specific protein p25 alpha
37466_at	RAB7, member RAS oncogene family-like 1
37467_at	immunoglobulin heavy constant delta
37468_at	Janus kinase 2 (a protein tyrosine kinase)
37469_at	KIAA0166 gene product
37470_at	leukocyte-associated Ig-like receptor 1
37471_at	ribonuclease P, 40kD subunit
37472_at	mannosidase, beta A, lysosomal
37473_at	 Cluster Incl AF061812:Homo sapiens keratin 16 (KRT16A) mRNA, complete cds /cds=(14,1435) /gb=AF061812 /gi=4091878 /ug=Hs.115947 /len=1588 
37474_at	Opa-interacting protein 5
37475_at	 Cluster Incl AC004144:Homo sapiens chromosome 19, overlapping cosmids R28707 and R34001 /cds=(0,3023) /gb=AC004144 /gi=2887496 /ug=Hs.116244 /len=3024 
37476_at	Cluster Incl AA650210:ns88b12.s1 Homo sapiens cDNA /clone=IMAGE-1190687 /gb=AA650210 /gi=2577538 /ug=Hs.116406 /len=528
37477_at	Cluster Incl W27535:32b5 Homo sapiens cDNA /gb=W27535 /gi=1307339 /ug=Hs.116406 /len=965
37478_at	secretagogin
37479_at	CD72 antigen
37480_at	thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)
37481_at	pre-mRNA splicing factor
37482_at	aldo-keto reductase family 1, member B11 (aldose reductase-like)
37483_at	histone deacetylase 7B
37484_at	integrin, alpha 1
37485_at	fatty-acid-Coenzyme A ligase, very long-chain 1
37486_f_at	Meis (mouse) homolog 3
37487_at	KIAA1093 protein
37488_at	farnesyltransferase, CAAX box, beta
37489_s_at	solute carrier family 4, anion exchanger, member 3
37490_at	 Cluster Incl L27213:Homo sapiens anion exchange protein mRNA, complete cds /cds=(28,2826) /gb=L27213 /gi=1486481 /ug=Hs.1176 /len=3064 
37491_at	TATA box binding protein (TBP)-associated factor, RNA polymerase II, A, 250kD
37492_at	KIAA0500 protein
37493_at	 Cluster Incl H04668:yj49e08.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-152102 /clone_end=5'' /gb=H04668 /gi=867601 /ug=Hs.118200 /len=522'' 
37494_at	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
37495_at	 Cluster Incl U63336:Human MHC Class I region proline rich protein mRNA, complete cds /cds=(264,1025) /gb=U63336 /gi=1773023 /ug=Hs.118354 /len=2261 
37496_at	Cluster Incl U66688:HSU66688 Homo sapiens cDNA /gb=U66688 /gi=1906573 /ug=Hs.118634 /len=1813
37497_at	hematopoietically expressed homeobox
37498_at	 Cluster Incl AL050404:Human DNA sequence from clone 955M13 on chromosome 20. Contains the KCNG1 gene for Potassium Voltage-gated channel G1 and STSs, a GSS and two putative CpG islands /cds=(0,1541) /gb=AL050404 /gi=5420267 /ug=Hs.118695 /len=1925 
37499_at	KIAA0408 gene product
37500_at	zinc finger protein 175
37501_at	transcription factor NRF
37502_at	SMC2 (structural maintenance of chromosomes 2, yeast)-like 1
37503_at	KIAA0984 protein
37504_at	E3 ubiquitin ligase SMURF1
37505_at	nuclear receptor subfamily 0, group B, member 2
37506_at	Cluster Incl Z78308:HSZ78308 Homo sapiens cDNA /clone=1.47-(CEPH) /gb=Z78308 /gi=1495081 /ug=Hs.119325 /len=762
37507_i_at	 Cluster Incl AA675900:g02504r Homo sapiens cDNA, 5 end /clone=g02504 /clone_end=5'' /gb=AA675900 /gi=2775247 /ug=Hs.119325 /len=647'' 
37508_f_at	 Cluster Incl AA675900:g02504r Homo sapiens cDNA, 5 end /clone=g02504 /clone_end=5'' /gb=AA675900 /gi=2775247 /ug=Hs.119325 /len=647'' 
37509_at	cytokine receptor-like molecule 9
37510_at	syntaxin 8
37511_at	B9 protein
37512_at	oxidative 3 alpha hydroxysteroid dehydrogenase; retinol dehydrogenase; 3-hydroxysteroid epimerase
37513_at	stearoyl-CoA desaturase (delta-9-desaturase)
37514_s_at	 Cluster Incl AB008047:Homo sapiens sMAP mRNA for small MBL-associated protein, complete cds /cds=(26,583) /gb=AB008047 /gi=5002493 /ug=Hs.119983 /len=725 
37515_at	mannan-binding lectin serine protease 2
37516_at	KIAA0749 protein
37517_at	KIAA1039 protein
37518_at	 Cluster Incl AL049842:Human DNA sequence from clone 129L7 on chromosome 6q12-13. Contains the gene for a PUTATIVE novel protein, ESTs, an STS, GSSs and a taga repeat polymorphism /cds=(9,749) /gb=AL049842 /gi=5419768 /ug=Hs.120247 /len=1679 
37519_at	asialoglycoprotein receptor 1
37520_at	nucleolar cysteine-rich protein
37521_s_at	 Cluster Incl H82458:yv80b07.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-249013 /clone_end=5'' /gb=H82458 /gi=1060547 /ug=Hs.120766 /len=455'' 
37522_r_at	 Cluster Incl H82458:yv80b07.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-249013 /clone_end=5'' /gb=H82458 /gi=1060547 /ug=Hs.120766 /len=455'' 
37523_at	acyl-Coenzyme A dehydrogenase, long chain
37524_at	serine/threonine kinase 17b (apoptosis-inducing)
37525_at	 Cluster Incl AL031663:dJ461P17.2 (PUTATIVE novel protein with a WAP-type (Whey Acidic Protein) four-disulfide core'' and a Kunitz/Bovine pancreatic tr /cds=(24,425) /gb=AL031663 /gi=4153977 /ug=Hs.121084 /len=723'' 
37526_at	vanin 1
37527_at	ELK3, ETS-domain protein (SRF accessory protein 2)
37528_at	aspartate beta-hydroxylase
37529_at	calcium channel, voltage-dependent, alpha 1H subunit
37530_s_at	reelin
37769_at	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4
37770_at	TATA box binding protein (TBP)-associated factor, RNA polymerase II, B, 150kD
37771_at	thousand and one amino acid protein kinase
37772_at	KIAA0904 protein
37773_at	KIAA1005 protein
37774_at	 Cluster Incl AI819942:wj88e02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2409914 /clone_end=3'' /gb=AI819942 /gi=5439021 /ug=Hs.123282 /len=553'' 
37775_at	Cluster Incl W25951:17d10 Homo sapiens cDNA /gb=W25951 /gi=1306236 /ug=Hs.123282 /len=738
37776_at	putative homeodomain transcription factor
37777_at	protein tyrosine phosphatase, receptor type, B
37778_at	antigenic determinant of recA protein (mouse) homolog
37779_at	acid sphingomyelinase-like phosphodiesterase
37780_at	piccolo (presynaptic cytomatrix protein)
37781_at	KIAA0921 protein
37782_at	 Cluster Incl AI636761:ts89f11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2238477 /clone_end=3'' /gb=AI636761 /gi=4688091 /ug=Hs.12409 /len=532'' 
37783_at	Cluster Incl AF070575:Homo sapiens clone 24407 mRNA sequence /cds=UNKNOWN /gb=AF070575 /gi=3387946 /ug=Hs.12432 /len=1763
37784_at	Cluster Incl AL049227:Homo sapiens mRNA; cDNA DKFZp564N1116 (from clone DKFZp564N1116) /cds=UNKNOWN /gb=AL049227 /gi=4499957 /ug=Hs.124776 /len=1869
37785_at	Cluster Incl U69563:U69563 Homo sapiens cDNA /clone=25050 /gb=U69563 /gi=2731394 /ug=Hs.124940 /len=1657
37786_at	Cluster Incl AF055007:Homo sapiens clone 24707 mRNA sequence /cds=UNKNOWN /gb=AF055007 /gi=3005728 /ug=Hs.124969 /len=1709
37787_at	Cluster Incl AF052116:Homo sapiens clone 23583 mRNA sequence /cds=UNKNOWN /gb=AF052116 /gi=3360423 /ug=Hs.12509 /len=1519
37788_at	Cluster Incl AF052115:Homo sapiens clone 23688 mRNA sequence /cds=UNKNOWN /gb=AF052115 /gi=3360422 /ug=Hs.12514 /len=1643
37789_at	 Cluster Incl AF064094:Homo sapiens KL04P mRNA, complete cds /cds=(108,1439) /gb=AF064094 /gi=3258662 /ug=Hs.125156 /len=1691 
37790_at	haemopoietic progenitor homeobox
37791_at	 Cluster Incl N29966:yw53g02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-255986 /clone_end=3'' /gb=N29966 /gi=1148486 /ug=Hs.125231 /len=496'' 
37792_s_at	RAD51 (S. cerevisiae)-like 3
37793_r_at	RAD51 (S. cerevisiae)-like 3
37794_at	Cluster Incl AF035281:Homo sapiens clone 23903 mRNA sequence /cds=UNKNOWN /gb=AF035281 /gi=2661032 /ug=Hs.12526 /len=1401
37795_at	arylsulfatase B
37796_at	leucine-rich neuronal protein
37797_at	ribulose-5-phosphate-3-epimerase
37798_at	chromosome 8 open reading frame 2
37799_at	Cluster Incl X55284:Human H2 mRNA coding for an asialoglycoprotein receptor /cds=UNKNOWN /gb=X55284 /gi=34353 /ug=Hs.1259 /len=1382''
37800_r_at	 Cluster Incl AI263099:qz35b09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2028857 /clone_end=3'' /gb=AI263099 /gi=3871302 /ug=Hs.126261 /len=838'' 
37801_at	TJ6 protein
37802_r_at	Cluster Incl AL049226:Homo sapiens mRNA; cDNA DKFZp564M0916 (from clone DKFZp564M0916) /cds=UNKNOWN /gb=AL049226 /gi=4499955 /ug=Hs.126541 /len=1402
37803_at	 Cluster Incl AI668626:yo63b04.x5 Homo sapiens cDNA, 3 end /clone=IMAGE-182575 /clone_end=3'' /gb=AI668626 /gi=4827934 /ug=Hs.126541 /len=493'' 
37804_at	suppressor of K+ transport defect 1
37805_at	sushi-repeat protein
37806_at	cortactin SH3 domain-binding protein
37807_at	glucokinase (hexokinase 4, maturity onset diabetes of the young 2)
37808_at	sorting nexin 7
37809_at	homeo box A9
37810_at	homeo box A9
37811_at	calcium channel, voltage-dependent, alpha 2/delta subunit 2
37812_at	KIAA0293 protein
37813_at	Cluster Incl AL079273:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 152428 /cds=UNKNOWN /gb=AL079273 /gi=5102576 /ug=Hs.127873 /len=1062
37814_g_at	Cluster Incl AL079273:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 152428 /cds=UNKNOWN /gb=AL079273 /gi=5102576 /ug=Hs.127873 /len=1062
37815_at	 Cluster Incl AI885549:wm25e05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2436992 /clone_end=3'' /gb=AI885549 /gi=5590713 /ug=Hs.127873 /len=699'' 
37816_at	complement component 5
37817_at	NY-REN-24 antigen
37818_at	hypothetical protein
37819_at	hypothetical protein
37820_at	kidney and liver proline oxidase 1
37821_at	breast carcinoma amplified sequence 1
37822_at	hypothetical protein
37823_at	 Cluster Incl Y16645:Homo sapiens mRNA for monocyte chemotactic protein-2 /cds=(472,771) /gb=Y16645 /gi=2916795 /ug=Hs.129202 /len=1266 
37824_at	KIAA1074 protein
37825_at	galactokinase 2
37826_at	 Cluster Incl AF020761:Homo sapiens stimulator of Fe transport mRNA, complete cds /cds=(85,1101) /gb=AF020761 /gi=2738924 /ug=Hs.129683 /len=1404 
37827_r_at	chromosome 21 open reading frame 5
37828_at	Cluster Incl AL050064:Homo sapiens mRNA; cDNA DKFZp566L033 (from clone DKFZp566L033) /cds=UNKNOWN /gb=AL050064 /gi=4884294 /ug=Hs.129812 /len=2989
37829_at	growth arrest-specific 2
37830_at	tetraspan transmembrane 4 super family
37831_at	KIAA0545 protein
37832_at	DKFZP564I122 protein
37833_at	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6
37834_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B
37835_at	CD1C antigen, c polypeptide
37836_at	KIAA0998 protein
37837_at	KIAA0863 protein
37838_at	coagulation factor XII (Hageman factor)
37839_at	Cluster Incl AL109700:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 51358 /cds=UNKNOWN /gb=AL109700 /gi=5689833 /ug=Hs.13223 /len=2194
37840_at	cyclic nucleotide gated channel alpha 1
37841_at	butyrylcholinesterase
37842_at	I-mfa domain-containing protein
37843_i_at	class I cytokine receptor
37844_at	 Cluster Incl AI263885:qi08d08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1855887 /clone_end=3'' /gb=AI263885 /gi=3872088 /ug=Hs.132781 /len=436'' 
37845_at	hematopoietic protein 1
37846_at	GTPase regulator associated with the focal adhesion kinase pp125(FAK); KIAA0621 protein
37847_at	PDZ-73 protein
37848_at	PTPRF interacting protein, binding protein 1 (liprin beta 1)
37849_at	slit (Drosophila) homolog 1
37850_at	Cluster Incl U90918:Human clone 23654 mRNA sequence /cds=UNKNOWN /gb=U90918 /gi=1913899 /ug=Hs.133712 /len=2317
37851_at	Cluster Incl AF055019:Homo sapiens clone 24670 mRNA sequence /cds=UNKNOWN /gb=AF055019 /gi=3005746 /ug=Hs.13417 /len=1649
37852_at	Cluster Incl AF052141:Homo sapiens clone 24626 mRNA sequence /cds=UNKNOWN /gb=AF052141 /gi=3360450 /ug=Hs.13438 /len=1578
37853_at	 Cluster Incl AI857458:wl57e02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2429018 /clone_end=3'' /gb=AI857458 /gi=5511074 /ug=Hs.134932 /len=540'' 
37854_at	ZW10 (Drosophila) homolog, centromere/kinetochore protein
37855_at	chitobiase, di-N-acetyl-
37856_at	CD84 antigen (leukocyte antigen)
37857_at	Cluster Incl AL080188:Homo sapiens mRNA; cDNA DKFZp434A132 (from clone DKFZp434A132) /cds=UNKNOWN /gb=AL080188 /gi=5262668 /ug=Hs.137556 /len=3754
37858_at	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
37859_r_at	Cluster Incl X92108:H.sapiens mRNA for subtelomeric repeat sequence /cds=UNKNOWN /gb=X92108 /gi=1150422 /ug=Hs.138629 /len=2042
37860_at	DKFZP564F1422 protein
37861_at	 Cluster Incl X14975:Human CD1 R2 gene for MHC-related antigen /cds=(0,971) /gb=X14975 /gi=29842 /ug=Hs.139305 /len=972 
37862_at	dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)
37863_at	early growth response 2 (Krox-20 (Drosophila) homolog)
37864_s_at	 Cluster Incl Y14737:Homo sapiens mRNA for immunoglobulin lambda heavy chain /cds=(65,1498) /gb=Y14737 /gi=2765424 /ug=Hs.140 /len=1631 
37865_at	endothelin 3
37866_at	Cluster Incl AL109671:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 29222 /cds=UNKNOWN /gb=AL109671 /gi=5689802 /ug=Hs.140833 /len=2320
37867_at	myelin oligodendrocyte glycoprotein
37868_s_at	myelin oligodendrocyte glycoprotein
37869_at	KIAA1081 protein
37870_at	transcription termination factor, RNA polymerase II
37871_at	islet amyloid polypeptide
37872_at	jerky (mouse) homolog
37873_g_at	jerky (mouse) homolog
37874_at	flavin containing monooxygenase 5
37875_at	glycoprotein A33 (transmembrane)
37876_at	protein kinase C, nu
37877_at	DKFZP564C103 protein
37878_at	 Cluster Incl W55917:zc03f12.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-321263 /clone_end=5'' /gb=W55917 /gi=1357807 /ug=Hs.144339 /len=601'' 
37879_r_at	 Cluster Incl AF057280:Homo sapiens tryptophan hydroxylase (TPH) gene, alternative splice products, partial cds /cds=(0,240) /gb=AF057280 /gi=3811316 /ug=Hs.144563 /len=2167 
37880_at	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
37881_at	growth differentiation factor 11
37882_at	general transcription factor IIE, polypeptide 1 (alpha subunit, 56kD)
37883_i_at	 Cluster Incl AI375033:ta66e10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2049066 /clone_end=3'' /gb=AI375033 /gi=4175023 /ug=Hs.145567 /len=536'' 
37884_f_at	 Cluster Incl AI375033:ta66e10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2049066 /clone_end=3'' /gb=AI375033 /gi=4175023 /ug=Hs.145567 /len=536'' 
37885_at	hypothetical protein
37886_at	neighbor of A-kinase anchoring protein 95
37887_at	protein kinase Chk2
38128_at	kidney- and liver-specific gene
38129_at	glycerol kinase
38130_s_at	glycerol kinase
38131_at	prostaglandin E synthase
38132_at	serum constituent protein
38133_at	Cluster Incl AL049270:Homo sapiens mRNA; cDNA DKFZp564G223 (from clone DKFZp564G223) /cds=UNKNOWN /gb=AL049270 /gi=4500019 /ug=Hs.148907 /len=1701
38134_at	pleiomorphic adenoma gene 1
38135_at	KIAA0373 gene product
38136_at	Werner syndrome
38137_at	FK506-binding protein 6 (36kD)
38138_at	S100 calcium-binding protein A11 (calgizzarin)
38139_at	fucose-1-phosphate guanylyltransferase
38140_at	exostoses (multiple)-like 1
38141_at	Cluster Incl AF038176:Homo sapiens clone 23859 mRNA sequence /cds=UNKNOWN /gb=AF038176 /gi=2795896 /ug=Hs.151046 /len=1242
38142_at	zinc finger protein 211
38143_at	kallikrein 7 (chymotryptic, stratum corneum)
